Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,27/11/2020 07:27,FALSE,Woking Running,5.72,353,00:31:14,132,149,2.6,157,176,05:28,04:42,19,23,1.14,9.3,10.8,280,49.8% L / 50.2% R,0,0,0,31:14:00,00:00,0,00:00,No,03:46.1,6,0
Running,25/11/2020 07:22,FALSE,Woking Running,5.7,354,00:31:04,133,151,2.6,157,223,05:27,04:56,19,18,1.15,9.4,10.8,280,50.2% L / 49.8% R,0,0,0,31:04:00,00:00,0,00:00,No,03:43.4,6,0
Running,24/11/2020 07:33,FALSE,Woking Running,5.69,358,00:30:58,133,151,2.6,157,175,05:26,04:59,16,16,1.14,9.1,10.6,281,49.9% L / 50.1% R,0,0,0,30:58:00,00:00,0,00:00,No,03:41.7,6,0
Running,22/11/2020 09:44,FALSE,Woking Running,6.32,396,00:33:33,136,153,3,156,221,05:19,04:52,24,26,1.2,8.8,10.8,283,50.1% L / 49.9% R,0,0,0,33:33:00,00:00,0,00:00,No,01:37.7,7,0
Running,21/11/2020 08:30,FALSE,Woking Running,10.01,626,00:53:33,137,156,3.2,158,174,05:21,04:43,43,43,1.17,9,10.7,277,50.1% L / 49.9% R,0,0,0,53:33:00,00:00,0,00:00,No,00:02.0,11,0
Running,20/11/2020 07:28,FALSE,Woking Running,5.67,356,00:30:39,135,148,2.7,157,182,05:24,04:57,11,13,1.15,9.3,10.9,280,50.1% L / 49.9% R,0,0,0,30:39:00,00:00,0,00:00,No,03:35.1,6,0
Running,18/11/2020 07:26,FALSE,Woking Running,3.34,209,00:18:49,129,141,2.2,159,209,05:38,05:09,12,12,1.08,9.6,10.5,280,50.0% L / 50.0% R,0,0,0,18:49,00:00,0,00:00,No,01:55.4,4,0
Running,16/11/2020 07:35,FALSE,Woking Running,3.19,190,00:18:24,124,139,2,158,169,05:46,05:14,11,13,1.07,9.5,10.3,283,50.5% L / 49.5% R,0,0,0,18:24,00:00,0,00:00,No,01:04.9,4,0
Running,11/11/2020 08:31,FALSE,Woking Running,9.12,552,00:54:09,128,147,2.7,153,219,05:56,04:52,38,37,1.08,8.8,9.8,296,50.3% L / 49.7% R,0,0,0,54:09:00,00:00,0,00:00,No,00:48.5,10,0
Running,09/11/2020 09:44,FALSE,Woking Running,10.01,626,00:54:11,136,156,3,156,175,05:25,04:49,42,42,1.17,9.2,11,283,50.3% L / 49.7% R,0,0,0,54:11:00,00:00,0,00:00,No,00:01.4,11,0
Running,08/11/2020 08:29,FALSE,Woking Running,10.01,647,00:52:52,138,157,3.3,156,176,05:17,04:35,40,41,1.19,8.9,10.9,281,50.0% L / 50.0% R,0,0,0,52:52:00,00:00,0,00:00,No,00:02.3,11,0
Running,07/11/2020 08:25,FALSE,Woking Running,10.01,610,00:53:18,136,155,3,157,193,05:20,04:39,50,51,1.18,9.1,11,277,50.2% L / 49.8% R,0,0,0,53:18:00,00:00,0,00:00,No,00:02.0,11,0
Running,04/11/2020 14:31,FALSE,Woking Running,10.01,607,00:53:37,135,151,2.8,156,193,05:21,04:38,48,48,1.17,9.2,11,281,50.5% L / 49.5% R,0,0,0,53:37:00,00:00,0,00:00,No,00:01.9,11,0
Running,01/11/2020 08:17,FALSE,Woking Running,10,611,00:53:58,134,157,2.9,157,181,05:24,04:26,51,51,1.16,9.4,11.1,277,50.3% L / 49.7% R,0,0,0,53:58:00,00:00,0,00:00,No,04:59.3,10,0
Running,29/10/2020 07:53,FALSE,Woking Running,10.01,616,00:53:39,136,154,2.9,156,197,05:21,04:41,45,51,1.18,9.3,11.2,278,49.9% L / 50.1% R,0,0,0,53:39:00,00:00,0,00:00,No,00:02.9,11,0
Running,28/10/2020 08:41,FALSE,Woking Running,10.01,603,00:53:55,134,156,2.8,156,189,05:23,04:27,45,45,1.18,9.5,11.4,278,50.2% L / 49.8% R,0,0,0,53:55:00,00:00,0,00:00,No,00:02.2,11,0
Running,27/10/2020 09:47,FALSE,Woking Running,5.66,311,00:32:21,121,140,2,155,197,05:43,05:06,12,12,1.11,9.8,11.1,284,50.2% L / 49.8% R,0,0,0,32:21:00,00:00,0,00:00,No,03:39.5,6,0
Running,24/10/2020 07:53,FALSE,Woking Running,10.01,608,00:54:40,134,154,2.8,156,202,05:28,04:33,49,49,1.16,9.3,11,281,50.0% L / 50.0% R,0,0,0,54:40:00,00:00,0,00:00,No,00:02.3,11,0
Running,23/10/2020 07:23,FALSE,Woking Running,5.71,338,00:31:48,129,146,2.2,157,174,05:34,04:54,12,14,1.13,9.5,10.9,280,50.1% L / 49.9% R,0,0,0,31:48:00,00:00,0,00:00,No,03:46.5,6,0
Running,22/10/2020 07:24,FALSE,Woking Running,5.67,368,00:31:28,133,148,2.6,157,176,05:33,04:56,23,17,1.12,9.6,10.9,279,50.3% L / 49.7% R,0,0,0,31:28:00,00:00,0,00:00,No,03:38.1,6,0
Running,21/10/2020 18:06,FALSE,Woking Running,5,296,00:28:29,127,143,2.1,154,184,05:42,04:59,17,16,1.13,9.8,11.2,287,50.2% L / 49.8% R,0,0,0,28:29:00,00:00,0,00:00,No,05:29.6,5,0
Running,20/10/2020 18:12,FALSE,Woking Running,5.64,367,00:31:43,132,149,2.5,154,205,05:37,05:02,21,20,1.13,9.5,11,287,50.4% L / 49.6% R,0,0,0,31:43:00,00:00,0,00:00,No,03:35.1,6,0
Running,18/10/2020 11:21,FALSE,Woking Running,6.31,403,00:34:31,134,154,2.6,156,210,05:28,04:35,28,28,1.16,9.2,10.9,282,50.1% L / 49.9% R,0,0,0,34:31:00,00:00,0,00:00,No,01:40.1,7,0
Running,17/10/2020 08:28,FALSE,Woking Running,10.08,614,00:54:36,134,149,2.7,157,190,05:25,04:05,42,44,1.16,9.1,10.9,279,50.0% L / 50.0% R,0,0,0,54:36:00,00:00,0,00:00,No,00:23.8,11,0
Running,16/10/2020 07:27,FALSE,Woking Running,5.67,338,00:31:27,129,145,2.2,156,177,05:33,04:18,21,20,1.13,9.6,11,281,50.0% L / 50.0% R,0,0,0,31:27:00,00:00,0,00:00,No,03:31.4,6,0
Running,15/10/2020 07:28,FALSE,Woking Running,5.68,336,00:31:28,129,145,2.2,154,187,05:33,04:59,25,24,1.12,9.7,11,281,49.8% L / 50.2% R,0,0,0,31:28:00,00:00,0,00:00,No,03:38.4,6,0
Running,14/10/2020 07:22,FALSE,Woking Running,5.73,343,00:31:35,129,148,2.3,157,182,05:31,04:55,16,15,1.14,9.4,10.9,280,49.8% L / 50.2% R,0,0,0,31:35:00,00:00,0,00:00,No,03:58.9,6,0
Running,13/10/2020 07:30,FALSE,Woking Running,5.69,348,00:31:32,129,142,2.3,157,172,05:32,05:05,27,25,1.12,9.7,11.1,278,50.4% L / 49.6% R,0,0,0,31:32:00,00:00,0,00:00,No,03:44.0,6,0
Running,11/10/2020 08:30,FALSE,Woking Running,10.01,613,00:54:30,135,152,2.7,156,175,05:27,04:40,43,45,1.17,9.1,10.9,281,50.2% L / 49.8% R,0,0,0,54:30:00,00:00,0,00:00,No,00:02.4,11,0
Running,10/10/2020 08:21,FALSE,Woking Running,10.01,602,00:54:59,134,153,2.5,156,181,05:29,04:44,48,49,1.15,9.4,11.1,278,50.1% L / 49.9% R,0,0,0,54:59:00,00:00,0,00:00,No,00:01.9,11,0
Running,09/10/2020 07:11,FALSE,Woking Running,5.69,362,00:31:11,133,148,2.5,157,179,05:29,04:41,12,15,1.14,9.5,11,277,50.3% L / 49.7% R,0,0,0,31:11:00,00:00,0,00:00,No,03:37.4,6,0
Running,08/10/2020 07:24,FALSE,Woking Running,5.7,371,00:31:27,134,151,2.7,156,208,05:31,04:36,21,20,1.14,9.7,11.2,280,50.2% L / 49.8% R,0,0,0,31:27:00,00:00,0,00:00,No,03:41.3,6,0
Running,07/10/2020 07:22,FALSE,Woking Running,5.67,369,00:31:26,134,150,2.6,157,176,05:32,04:21,8,12,1.13,9.5,10.9,280,50.4% L / 49.6% R,0,0,0,31:26:00,00:00,0,00:00,No,03:37.0,6,0
Running,06/10/2020 07:28,FALSE,Woking Running,5.68,362,00:31:06,135,155,2.6,157,180,05:29,04:35,8,12,1.14,9.3,10.8,279,50.3% L / 49.8% R,0,0,0,31:06:00,00:00,0,00:00,No,03:31.3,6,0
Running,04/10/2020 16:21,FALSE,Woking Running,5.38,331,00:29:04,133,147,2.4,157,184,05:24,04:31,18,20,1.16,9.4,11.1,276,50.5% L / 49.5% R,0,0,0,29:04:00,00:00,0,00:00,No,01:57.7,6,0
Running,03/10/2020 12:27,FALSE,Woking Running,10.1,647,00:55:38,137,156,3,154,183,05:30,04:46,27,33,1.16,9.6,11.3,284,50.2% L / 49.8% R,0,0,0,55:38:00,00:00,0,00:00,No,00:29.6,11,0
Running,02/10/2020 07:24,FALSE,Woking Running,5.66,359,00:30:51,134,154,2.6,156,188,05:27,04:03,18,18,1.16,9.4,11.1,280,50.2% L / 49.8% R,0,0,0,30:51:00,00:00,0,00:00,No,03:28.7,6,0
Running,01/10/2020 17:46,FALSE,Woking Running,5.65,357,00:30:32,133,151,2.5,156,182,05:24,04:21,23,22,1.16,9.3,11.1,280,50.5% L / 49.5% R,0,0,0,30:32:00,00:00,0,00:00,No,03:20.2,6,0
Running,30/09/2020 07:30,FALSE,Woking Running,5.66,359,00:30:53,135,153,2.5,157,180,05:27,03:56,15,15,1.15,9.4,11,279,50.0% L / 50.0% R,0,0,0,30:53:00,00:00,0,00:00,No,03:27.0,6,0
Running,29/09/2020 18:30,FALSE,Woking Running,5.66,378,00:30:59,136,159,2.9,155,203,05:28,04:44,24,23,1.16,9.5,11.2,283,50.4% L / 49.6% R,0,0,0,30:59:00,00:00,0,00:00,No,03:28.5,6,0
Running,27/09/2020 08:43,FALSE,Woking Running,10.01,651,00:53:45,139,155,3.1,157,192,05:22,04:38,43,44,1.16,8.9,10.5,279,50.4% L / 49.6% R,0,0,0,53:45:00,00:00,0,00:00,No,00:02.7,11,0
Running,26/09/2020 09:11,FALSE,Woking Running,10.01,620,00:54:25,136,154,2.8,158,173,05:26,04:38,40,41,1.15,9,10.5,279,50.4% L / 49.6% R,0,0,0,54:25:00,00:00,0,00:00,No,00:01.6,11,0
Running,25/09/2020 18:35,FALSE,Woking Running,5.38,309,00:32:58,125,150,2,148,205,06:08,03:25,6,12,1.08,9.1,9.2,313,50.0% L / 50.0% R,0,0,0,32:58:00,00:00,0,00:00,No,00:30.0,43,0
